Data,Tipo de movimentação,Valor
2023-02-10,Guardado,1100.0
2023-02-13,Rendimentos,0.01
2023-02-14,Rendimentos,0.11
2023-02-15,Rendimentos,0.1
2023-02-16,Rendimentos,0.13
2023-02-17,Rendimentos,0.18
2023-02-19,Resgatado,-100.0
2023-02-22,Rendimentos,0.18
2023-02-23,Rendimentos,0.59
2023-02-24,Rendimentos,0.27
2023-02-27,Rendimentos,0.29
2023-02-28,Rendimentos,0.61
2023-03-01,Rendimentos,0.42
2023-03-02,Rendimentos,0.4
2023-03-03,Rendimentos,0.44
2023-03-06,Rendimentos,0.51
2023-03-07,Rendimentos,0.9
2023-03-07,Resgatado,-166.74
2023-03-07,Resgatado,-14.87
2023-03-08,Rendimentos,0.44
2023-03-08,Resgatado,-353.97
2023-03-09,Rendimentos,0.25
2023-03-10,Rendimentos,0.31
2023-03-13,Rendimentos,0.28
2023-03-14,Rendimentos,0.31
2023-03-15,Rendimentos,0.18
2023-03-16,Rendimentos,0.19
2023-03-17,Rendimentos,0.19
2023-03-20,Rendimentos,0.19
2023-03-21,Rendimentos,0.19
2023-03-22,Rendimentos,0.19
2023-03-23,Rendimentos,0.19
2023-03-24,Rendimentos,0.19
2023-03-27,Rendimentos,0.19
2023-03-28,Rendimentos,0.19
2023-03-29,Rendimentos,0.19
2023-03-30,Rendimentos,0.19
2023-03-30,Resgatado,-30.0
2023-03-31,Rendimentos,0.19
2023-04-03,Rendimentos,0.18
2023-04-04,Rendimentos,0.18
2023-04-05,Rendimentos,0.18
2023-04-06,Rendimentos,0.17
2023-04-10,Rendimentos,0.18
2023-04-11,Rendimentos,0.18
2023-04-12,Rendimentos,0.18
2023-04-13,Rendimentos,0.18
2023-04-14,Rendimentos,0.18
2023-04-17,Rendimentos,0.18
2023-04-18,Rendimentos,0.18
2023-04-19,Rendimentos,0.18
2023-04-20,Rendimentos,0.18
2023-04-21,Resgatado,-50.0
2023-04-24,Rendimentos,0.18
2023-04-24,Resgatado,-10.0
2023-04-25,Rendimentos,0.15
2023-04-25,Resgatado,-17.0
2023-04-26,Rendimentos,0.16
2023-04-27,Rendimentos,0.14
2023-04-28,Rendimentos,0.15
2023-05-02,Rendimentos,0.16
2023-05-03,Rendimentos,0.14
2023-05-04,Rendimentos,0.15
2023-05-05,Rendimentos,0.16
2023-05-05,Guardado,120.0
2023-05-05,Guardado,6.18
2023-05-08,Rendimentos,0.15
2023-05-09,Rendimentos,0.16
2023-05-10,Rendimentos,0.16
2023-05-10,Resgatado,-70.11
2023-05-10,Resgatado,-100.0
2023-05-10,Guardado,170.0
2023-05-12,Rendimentos,0.16
2023-05-12,Rendimentos,0.17
2023-05-15,Rendimentos,0.17
2023-05-16,Rendimentos,0.2
2023-05-17,Rendimentos,0.18
2023-05-18,Rendimentos,0.18
